Arena,Fly,Classifier,Classifier Param,LED Policy,LED Policy Param,LED Number,Notes,Trial State,State Duration,Arena Type,,
1,PAM_0273,center,{radius: 70},pulse,"{on_t: 1, off_t: 9}",[1],2d_starved,disabled,0,tunnels_A,TRIAL DURATION:,240
2,PAM_0273,center,{radius: 70},pulse,"{on_t: 1, off_t: 9}",[2],2d_starved,enabled,240,,hours:,4
3,PAM_0273,center,{radius: 70},pulse,"{on_t: 1, off_t: 9}",[3],2d_starved,,,,,
4,PAM_0273,center,{radius: 70},pulse,"{on_t: 1, off_t: 9}",[4],2d_starved,,,,,
5,PAM_0273,center,{radius: 70},pulse,"{on_t: 1, off_t: 9}",[5],2d_starved,,,,,
6,PAM_0273,center,{radius: 70},pulse,"{on_t: 1, off_t: 9}",[6],2d_starved,,,,,
7,PAM_0273,center,{radius: 70},pulse,"{on_t: 1, off_t: 9}",[7],2d_starved,,,,,
8,PAM_0273,center,{radius: 70},pulse,"{on_t: 1, off_t: 9}",[8],2d_starved,,,,,
9,PAM_0273,center,{radius: 70},pulse,"{on_t: 1, off_t: 9}",[9],2d_starved,,,,,
10,PAM_0273,center,{radius: 70},pulse,"{on_t: 1, off_t: 9}",[10],2d_starved,,,,,
11,PAM_0273,center,{radius: 70},pulse,"{on_t: 1, off_t: 9}",[11],2d_starved,,,,,
12,PAM_0273,center,{radius: 70},pulse,"{on_t: 1, off_t: 9}",[12],2d_starved,,,,,
13,PAM_0273,center,{radius: 70},pulse,"{on_t: 1, off_t: 9}",[13],2d_starved,,,,,
14,PAM_0273,center,{radius: 70},pulse,"{on_t: 1, off_t: 9}",[14],2d_starved,,,,,
15,PAM_0273,center,{radius: 70},pulse,"{on_t: 1, off_t: 9}",[15],2d_starved,,,,,
16,PAM_0273,center,{radius: 70},pulse,"{on_t: 1, off_t: 9}",[16],2d_starved,,,,,
17,PAM_0273,center,{radius: 70},pulse,"{on_t: 1, off_t: 9}",[17],2d_starved,,,,,
18,PAM_0273,center,{radius: 70},pulse,"{on_t: 1, off_t: 9}",[18],2d_starved,,,,,
19,PAM_0273,center,{radius: 70},pulse,"{on_t: 1, off_t: 9}",[19],2d_starved,,,,,
20,PAM_0273,center,{radius: 70},pulse,"{on_t: 1, off_t: 9}",[20],2d_starved,,,,,
21,PAM_0273,center,{radius: 70},pulse,"{on_t: 1, off_t: 9}",[21],2d_starved,,,,,
22,PAM_0273,center,{radius: 70},pulse,"{on_t: 1, off_t: 9}",[22],2d_starved,,,,,
23,PAM_0273,center,{radius: 70},pulse,"{on_t: 1, off_t: 9}",[23],2d_starved,,,,,
24,PAM_0273,center,{radius: 70},pulse,"{on_t: 1, off_t: 9}",[24],2d_starved,,,,,
25,PAM_0273,center,{radius: 70},pulse,"{on_t: 1, off_t: 9}",[25],2d_starved,,,,,
26,PAM_0273,center,{radius: 70},pulse,"{on_t: 1, off_t: 9}",[26],2d_starved,,,,,
27,PAM_0273,center,{radius: 70},pulse,"{on_t: 1, off_t: 9}",[27],2d_starved,,,,,
28,PAM_0273,center,{radius: 70},pulse,"{on_t: 1, off_t: 9}",[28],2d_starved,,,,,
29,PAM_0273,center,{radius: 70},pulse,"{on_t: 1, off_t: 9}",[29],2d_starved,,,,,
30,PAM_0273,center,{radius: 70},pulse,"{on_t: 1, off_t: 9}",[30],2d_starved,,,,,
31,PAM_0273,center,{radius: 70},pulse,"{on_t: 1, off_t: 9}",[31],2d_starved,,,,,
32,PAM_0273,center,{radius: 70},pulse,"{on_t: 1, off_t: 9}",[32],2d_starved,,,,,
33,PAM_0273,center,{radius: 70},pulse,"{on_t: 1, off_t: 9}",[33],2d_starved,,,,,
34,PAM_0273,center,{radius: 70},pulse,"{on_t: 1, off_t: 9}",[34],2d_starved,,,,,
35,PAM_0273,center,{radius: 70},pulse,"{on_t: 1, off_t: 9}",[35],2d_starved,,,,,
