Arena,Fly,Classifier,Classifier Param,LED Policy,LED Policy Param,LED Number,Notes,Trial State,State Duration,Arena Type,,
1,PAM_0273,ficfruit_touch,"{distance: 0, touch_count: 3}",pulse,"{on_t: 0.25, off_t: 9}",[1],fed_dob1.20-24_mixedsex_day-night,disabled,30,tunnels_A,TRIAL DURATION:,210
2,PAM_0273,ficfruit_touch,"{distance: 0, touch_count: 3}",pulse,"{on_t: 0.25, off_t: 9}",[2],fed_dob1.20-24_mixedsex_day-night,enabled,180,,hours:,3.5
3,PAM_0273,ficfruit_touch,"{distance: 0, touch_count: 3}",pulse,"{on_t: 0.25, off_t: 9}",[3],fed_dob1.20-24_mixedsex_day-night,,,,,
4,PAM_0273,ficfruit_touch,"{distance: 0, touch_count: 3}",pulse,"{on_t: 0.25, off_t: 9}",[4],fed_dob1.20-24_mixedsex_day-night,,,,,
5,PAM_0273,ficfruit_touch,"{distance: 0, touch_count: 3}",pulse,"{on_t: 0.25, off_t: 9}",[5],fed_dob1.20-24_mixedsex_day-night,,,,,
6,PAM_0273,ficfruit_touch,"{distance: 0, touch_count: 3}",empty,"{on_t: 0.25, off_t: 9}",[6],fed_dob1.20-24_mixedsex_day-night,,,,,
7,PAM_0273,ficfruit_touch,"{distance: 0, touch_count: 3}",empty,"{on_t: 0.25, off_t: 9}",[7],fed_dob1.20-24_mixedsex_day-night,,,,,
8,PAM_0273,ficfruit_touch,"{distance: 0, touch_count: 3}",empty,"{on_t: 0.25, off_t: 9}",[8],fed_dob1.20-24_mixedsex_day-night,,,,,
9,PAM_0273,ficfruit_touch,"{distance: 0, touch_count: 3}",empty,"{on_t: 0.25, off_t: 9}",[9],fed_dob1.20-24_mixedsex_day-night,,,,,
10,PAM_0273,ficfruit_touch,"{distance: 0, touch_count: 3}",empty,"{on_t: 0.25, off_t: 9}",[10],fed_dob1.20-24_mixedsex_day-night,,,,,
11,PAM_0273,ficfruit_touch,"{distance: 0, touch_count: 3}",pulse,"{on_t: 0.25, off_t: 9}",[11],fed_dob1.20-24_mixedsex_day-night,,,,,
