Arena,Fly,Classifier,Classifier Param,LED Policy,LED Policy Param,LED Number,Notes,Trial State,State Duration,Arena Type,,
1,HCS,ficfruit_revisit,"{inner_radius: 0, outer_radius: 30, touch_count: 3}",single_pulse,{on_t: 0.25},[1],,disabled,0,tunnels_A,TRIAL DURATION:,180
2,HCS,ficfruit_revisit,"{inner_radius: 0, outer_radius: 30, touch_count: 3}",single_pulse,{on_t: 0.25},[2],,enabled,180,,hours:,3
3,HCS,ficfruit_revisit,"{inner_radius: 0, outer_radius: 30, touch_count: 3}",single_pulse,{on_t: 0.25},[3],,,,,,
4,HCS,ficfruit_revisit,"{inner_radius: 0, outer_radius: 30, touch_count: 3}",single_pulse,{on_t: 0.25},[4],,,,,,
5,HCS,ficfruit_revisit,"{inner_radius: 0, outer_radius: 30, touch_count: 3}",single_pulse,{on_t: 0.25},[5],,,,,,
6,HCS,ficfruit_revisit,"{inner_radius: 0, outer_radius: 30, touch_count: 3}",single_pulse,{on_t: 0.25},[6],,,,,,
7,HCS,ficfruit_revisit,"{inner_radius: 0, outer_radius: 30, touch_count: 3}",single_pulse,{on_t: 0.25},[7],,,,,,
8,HCS,ficfruit_revisit,"{inner_radius: 0, outer_radius: 30, touch_count: 3}",single_pulse,{on_t: 0.25},[8],,,,,,
9,HCS,ficfruit_revisit,"{inner_radius: 0, outer_radius: 30, touch_count: 3}",single_pulse,{on_t: 0.25},[9],,,,,,
10,HCS,ficfruit_revisit,"{inner_radius: 0, outer_radius: 30, touch_count: 3}",single_pulse,{on_t: 0.25},[10],,,,,,
11,HCS,ficfruit_revisit,"{inner_radius: 0, outer_radius: 30, touch_count: 3}",single_pulse,{on_t: 0.25},[11],,,,,,
12,HCS,ficfruit_revisit,"{inner_radius: 0, outer_radius: 30, touch_count: 3}",single_pulse,{on_t: 0.25},[12],,,,,,
13,HCS,ficfruit_revisit,"{inner_radius: 0, outer_radius: 30, touch_count: 3}",single_pulse,{on_t: 0.25},[13],,,,,,
14,HCS,ficfruit_revisit,"{inner_radius: 0, outer_radius: 30, touch_count: 3}",single_pulse,{on_t: 0.25},[14],,,,,,
15,HCS,ficfruit_revisit,"{inner_radius: 0, outer_radius: 30, touch_count: 3}",single_pulse,{on_t: 0.25},[15],,,,,,
16,HCS,ficfruit_revisit,"{inner_radius: 0, outer_radius: 30, touch_count: 3}",single_pulse,{on_t: 0.25},[16],,,,,,
17,HCS,ficfruit_revisit,"{inner_radius: 0, outer_radius: 30, touch_count: 3}",single_pulse,{on_t: 0.25},[17],,,,,,
18,HCS,ficfruit_revisit,"{inner_radius: 0, outer_radius: 30, touch_count: 3}",single_pulse,{on_t: 0.25},[18],,,,,,
19,HCS,ficfruit_revisit,"{inner_radius: 0, outer_radius: 30, touch_count: 3}",single_pulse,{on_t: 0.25},[19],,,,,,
20,HCS,ficfruit_revisit,"{inner_radius: 0, outer_radius: 30, touch_count: 3}",single_pulse,{on_t: 0.25},[20],,,,,,
21,HCS,ficfruit_revisit,"{inner_radius: 0, outer_radius: 30, touch_count: 3}",single_pulse,{on_t: 0.25},[21],,,,,,
22,HCS,ficfruit_revisit,"{inner_radius: 0, outer_radius: 30, touch_count: 3}",single_pulse,{on_t: 0.25},[22],,,,,,
23,HCS,ficfruit_revisit,"{inner_radius: 0, outer_radius: 30, touch_count: 3}",single_pulse,{on_t: 0.25},[23],,,,,,
24,HCS,ficfruit_revisit,"{inner_radius: 0, outer_radius: 30, touch_count: 3}",single_pulse,{on_t: 0.25},[24],,,,,,
25,HCS,ficfruit_revisit,"{inner_radius: 0, outer_radius: 30, touch_count: 3}",single_pulse,{on_t: 0.25},[25],,,,,,
26,HCS,ficfruit_revisit,"{inner_radius: 0, outer_radius: 30, touch_count: 3}",single_pulse,{on_t: 0.25},[26],,,,,,
27,HCS,ficfruit_revisit,"{inner_radius: 0, outer_radius: 30, touch_count: 3}",single_pulse,{on_t: 0.25},[27],,,,,,
28,HCS,ficfruit_revisit,"{inner_radius: 0, outer_radius: 30, touch_count: 3}",single_pulse,{on_t: 0.25},[28],,,,,,
29,HCS,ficfruit_revisit,"{inner_radius: 0, outer_radius: 30, touch_count: 3}",single_pulse,{on_t: 0.25},[29],,,,,,
30,HCS,ficfruit_revisit,"{inner_radius: 0, outer_radius: 30, touch_count: 3}",single_pulse,{on_t: 0.25},[30],,,,,,
31,HCS,ficfruit_revisit,"{inner_radius: 0, outer_radius: 30, touch_count: 3}",single_pulse,{on_t: 0.25},[31],,,,,,
32,HCS,ficfruit_revisit,"{inner_radius: 0, outer_radius: 30, touch_count: 3}",single_pulse,{on_t: 0.25},[32],,,,,,
33,HCS,ficfruit_revisit,"{inner_radius: 0, outer_radius: 30, touch_count: 3}",single_pulse,{on_t: 0.25},[33],,,,,,
34,HCS,ficfruit_revisit,"{inner_radius: 0, outer_radius: 30, touch_count: 3}",single_pulse,{on_t: 0.25},[34],,,,,,
35,HCS,ficfruit_revisit,"{inner_radius: 0, outer_radius: 30, touch_count: 3}",single_pulse,{on_t: 0.25},[35],,,,,,
