Arena,Fly,Classifier,Classifier Param,LED Policy,LED Policy Param,LED Number,Notes,Trial State,State Duration,Arena Type,,
1,PAM_0273,center,{radius: 70},always_on,{},[1],fed_dob2.3-5_mixedsex,disabled,60,tunnels_A,TRIAL DURATION:,150
2,PAM_0273,center,{radius: 70},always_on,{},[2],fed_dob2.3-5_mixedsex,enabled,60,,hours:,2.5
3,PAM_0273,center,{radius: 70},empty,{},[3],fed_dob2.3-5_mixedsex,disabled,30,,,
4,PAM_0273,center,{radius: 70},always_on,{},[4],fed_dob2.3-5_mixedsex,,,,,
5,PAM_0273,center,{radius: 70},always_on,{},[5],fed_dob2.3-5_mixedsex,,,,,
6,PAM_0273,center,{radius: 70},always_on,{},[6],fed_dob2.3-5_mixedsex,,,,,
7,PAM_0273,center,{radius: 70},always_on,{},[7],fed_dob2.3-5_mixedsex,,,,,
8,PAM_0273,center,{radius: 70},empty,{},[8],fed_dob2.3-5_mixedsex,,,,,
9,PAM_0273,center,{radius: 70},always_on,{},[9],fed_dob2.3-5_mixedsex,,,,,
10,PAM_0273,center,{radius: 70},always_on,{},[10],fed_dob2.3-5_mixedsex,,,,,
11,PAM_0273,center,{radius: 70},always_on,{},[11],fed_dob2.3-5_mixedsex,,,,,
12,PAM_0273,center,{radius: 70},always_on,{},[12],fed_dob2.3-5_mixedsex,,,,,
13,PAM_0273,center,{radius: 70},empty,{},[13],fed_dob2.3-5_mixedsex,,,,,
14,PAM_0273,center,{radius: 70},always_on,{},[14],fed_dob2.3-5_mixedsex,,,,,
15,PAM_0273,center,{radius: 70},always_on,{},[15],fed_dob2.3-5_mixedsex,,,,,
16,PAM_0273,center,{radius: 70},always_on,{},[16],fed_dob2.3-5_mixedsex,,,,,
17,PAM_0273,center,{radius: 70},always_on,{},[17],fed_dob2.3-5_mixedsex,,,,,
18,PAM_0273,center,{radius: 70},empty,{},[18],fed_dob2.3-5_mixedsex,,,,,
19,PAM_0273,center,{radius: 70},always_on,{},[19],fed_dob2.3-5_mixedsex,,,,,
20,PAM_0273,center,{radius: 70},always_on,{},[20],fed_dob2.3-5_mixedsex,,,,,
21,PAM_0273,center,{radius: 70},always_on,{},[21],fed_dob2.3-5_mixedsex,,,,,
22,PAM_0273,center,{radius: 70},always_on,{},[22],fed_dob2.3-5_mixedsex,,,,,
23,PAM_0273,center,{radius: 70},empty,{},[23],fed_dob2.3-5_mixedsex,,,,,
24,PAM_0273,center,{radius: 70},always_on,{},[24],fed_dob2.3-5_mixedsex,,,,,
25,PAM_0273,center,{radius: 70},always_on,{},[25],fed_dob2.3-5_mixedsex,,,,,
26,PAM_0273,center,{radius: 70},always_on,{},[26],fed_dob2.3-5_mixedsex,,,,,
27,PAM_0273,center,{radius: 70},always_on,{},[27],fed_dob2.3-5_mixedsex,,,,,
28,PAM_0273,center,{radius: 70},empty,{},[28],fed_dob2.3-5_mixedsex,,,,,
29,PAM_0273,center,{radius: 70},always_on,{},[29],fed_dob2.3-5_mixedsex,,,,,
30,PAM_0273,center,{radius: 70},always_on,{},[30],fed_dob2.3-5_mixedsex,,,,,
31,PAM_0273,center,{radius: 70},always_on,{},[31],fed_dob2.3-5_mixedsex,,,,,
32,PAM_0273,center,{radius: 70},always_on,{},[32],fed_dob2.3-5_mixedsex,,,,,
33,PAM_0273,center,{radius: 70},empty,{},[33],fed_dob2.3-5_mixedsex,,,,,
34,PAM_0273,center,{radius: 70},always_on,{},[34],fed_dob2.3-5_mixedsex,,,,,
35,PAM_0273,center,{radius: 70},always_on,{},[35],fed_dob2.3-5_mixedsex,,,,,
