Arena,Fly,Classifier,Classifier Param,LED Policy,LED Policy Param,LED number,Notes,Trial State,State Duration,Arena Type,,
1,PAM_0273,roi,"{x_pos: -55, y_pos: 0, radius: 30}",pulse,"{on_t: 0.25, off_t: 2}",[1],fed_dob1.20-22_mixedsex,disabled,30,tunnels_A,TRIAL DURATION:,210
2,PAM_0273,roi,"{x_pos: -55, y_pos: 0, radius: 30}",pulse,"{on_t: 0.25, off_t: 2}",[2],fed_dob1.20-22_mixedsex,enabled,180,,hours:,3.5
3,PAM_0273,roi,"{x_pos: -55, y_pos: 0, radius: 30}",empty,"{on_t: 0.25, off_t: 2}",[3],fed_dob1.20-22_mixedsex,,,,,
4,PAM_0273,roi,"{x_pos: -55, y_pos: 0, radius: 30}",pulse,"{on_t: 0.25, off_t: 2}",[4],fed_dob1.20-22_mixedsex,,,,,
5,PAM_0273,roi,"{x_pos: -55, y_pos: 0, radius: 30}",pulse,"{on_t: 0.25, off_t: 2}",[5],fed_dob1.20-22_mixedsex,,,,,
6,PAM_0273,roi,"{x_pos: -55, y_pos: 0, radius: 30}",pulse,"{on_t: 0.25, off_t: 2}",[6],fed_dob1.20-22_mixedsex,,,,,
7,PAM_0273,roi,"{x_pos: -55, y_pos: 0, radius: 30}",pulse,"{on_t: 0.25, off_t: 2}",[7],fed_dob1.20-22_mixedsex,,,,,
8,PAM_0273,roi,"{x_pos: -55, y_pos: 0, radius: 30}",empty,"{on_t: 0.25, off_t: 2}",[8],fed_dob1.20-22_mixedsex,,,,,
9,PAM_0273,roi,"{x_pos: -55, y_pos: 0, radius: 30}",pulse,"{on_t: 0.25, off_t: 2}",[9],fed_dob1.20-22_mixedsex,,,,,
10,PAM_0273,roi,"{x_pos: -55, y_pos: 0, radius: 30}",pulse,"{on_t: 0.25, off_t: 2}",[10],fed_dob1.20-22_mixedsex,,,,,
11,PAM_0273,roi,"{x_pos: -55, y_pos: 0, radius: 30}",pulse,"{on_t: 0.25, off_t: 2}",[11],fed_dob1.20-22_mixedsex,,,,,
12,PAM_0273,roi,"{x_pos: -55, y_pos: 0, radius: 30}",pulse,"{on_t: 0.25, off_t: 2}",[12],fed_dob1.20-22_mixedsex,,,,,
13,PAM_0273,roi,"{x_pos: -55, y_pos: 0, radius: 30}",empty,"{on_t: 0.25, off_t: 2}",[13],fed_dob1.20-22_mixedsex,,,,,
14,PAM_0273,roi,"{x_pos: -55, y_pos: 0, radius: 30}",pulse,"{on_t: 0.25, off_t: 2}",[14],fed_dob1.20-22_mixedsex,,,,,
