Arena,Fly,Classifier,Classifier Param,LED Policy,LED Policy Param,LED Number,Notes,Trial State,State Duration,Arena Type,,
1,PAM_0273,roi_revisit,"{x_pos: -70, y_pos: 0, outer_radius: 20, inner_radius: 20}",single_pulse,{on_t: 0.25},[1],fed_dob2.5-31_mixedsex,disabled,30,tunnels_A,TRIAL DURATION:,120
2,PAM_0273,roi_revisit,"{x_pos: -70, y_pos: 0, outer_radius: 20, inner_radius: 20}",single_pulse,{on_t: 0.25},[2],fed_dob2.5-31_mixedsex,enabled,60,,hours:,2
3,PAM_0273,roi_revisit,"{x_pos: -70, y_pos: 0, outer_radius: 20, inner_radius: 20}",empty,{on_t: 0.25},[3],fed_dob2.5-31_mixedsex,disabled,30,,,
4,PAM_0273,roi_revisit,"{x_pos: -70, y_pos: 0, outer_radius: 20, inner_radius: 20}",single_pulse,{on_t: 0.25},[4],fed_dob2.5-31_mixedsex,,,,,
5,PAM_0273,roi_revisit,"{x_pos: -70, y_pos: 0, outer_radius: 20, inner_radius: 20}",single_pulse,{on_t: 0.25},[5],fed_dob2.5-31_mixedsex,,,,,
6,PAM_0273,roi_revisit,"{x_pos: -70, y_pos: 0, outer_radius: 20, inner_radius: 20}",single_pulse,{on_t: 0.25},[6],fed_dob2.5-31_mixedsex,,,,,
7,PAM_0273,roi_revisit,"{x_pos: -70, y_pos: 0, outer_radius: 20, inner_radius: 20}",single_pulse,{on_t: 0.25},[7],fed_dob2.5-31_mixedsex,,,,,
8,PAM_0273,roi_revisit,"{x_pos: -70, y_pos: 0, outer_radius: 20, inner_radius: 20}",empty,{on_t: 0.25},[8],fed_dob2.5-31_mixedsex,,,,,
9,PAM_0273,roi_revisit,"{x_pos: -70, y_pos: 0, outer_radius: 20, inner_radius: 20}",single_pulse,{on_t: 0.25},[9],fed_dob2.5-31_mixedsex,,,,,
10,PAM_0273,roi_revisit,"{x_pos: -70, y_pos: 0, outer_radius: 20, inner_radius: 20}",single_pulse,{on_t: 0.25},[10],fed_dob2.5-31_mixedsex,,,,,
11,PAM_0273,roi_revisit,"{x_pos: -70, y_pos: 0, outer_radius: 20, inner_radius: 20}",single_pulse,{on_t: 0.25},[11],fed_dob2.5-31_mixedsex,,,,,
12,PAM_0273,roi_revisit,"{x_pos: -70, y_pos: 0, outer_radius: 20, inner_radius: 20}",single_pulse,{on_t: 0.25},[12],fed_dob2.5-31_mixedsex,,,,,
13,PAM_0273,roi_revisit,"{x_pos: -70, y_pos: 0, outer_radius: 20, inner_radius: 20}",empty,{on_t: 0.25},[13],fed_dob2.5-31_mixedsex,,,,,
14,PAM_0273,roi_revisit,"{x_pos: -70, y_pos: 0, outer_radius: 20, inner_radius: 20}",single_pulse,{on_t: 0.25},[14],fed_dob2.5-31_mixedsex,,,,,
15,PAM_0273,roi_revisit,"{x_pos: -70, y_pos: 0, outer_radius: 20, inner_radius: 20}",single_pulse,{on_t: 0.25},[15],fed_dob2.5-31_mixedsex,,,,,
16,PAM_0273,roi_revisit,"{x_pos: -70, y_pos: 0, outer_radius: 20, inner_radius: 20}",single_pulse,{on_t: 0.25},[16],fed_dob2.5-31_mixedsex,,,,,
17,PAM_0273,roi_revisit,"{x_pos: -70, y_pos: 0, outer_radius: 20, inner_radius: 20}",single_pulse,{on_t: 0.25},[17],fed_dob2.5-31_mixedsex,,,,,
18,PAM_0273,roi_revisit,"{x_pos: -70, y_pos: 0, outer_radius: 20, inner_radius: 20}",empty,{on_t: 0.25},[18],fed_dob2.5-31_mixedsex,,,,,
19,PAM_0273,roi_revisit,"{x_pos: -70, y_pos: 0, outer_radius: 20, inner_radius: 20}",single_pulse,{on_t: 0.25},[19],fed_dob2.5-31_mixedsex,,,,,
20,PAM_0273,roi_revisit,"{x_pos: -70, y_pos: 0, outer_radius: 20, inner_radius: 20}",single_pulse,{on_t: 0.25},[20],fed_dob2.5-31_mixedsex,,,,,
21,PAM_0273,roi_revisit,"{x_pos: -70, y_pos: 0, outer_radius: 20, inner_radius: 20}",single_pulse,{on_t: 0.25},[21],fed_dob2.5-31_mixedsex,,,,,
22,PAM_0273,roi_revisit,"{x_pos: -70, y_pos: 0, outer_radius: 20, inner_radius: 20}",single_pulse,{on_t: 0.25},[22],fed_dob2.5-31_mixedsex,,,,,
23,PAM_0273,roi_revisit,"{x_pos: -70, y_pos: 0, outer_radius: 20, inner_radius: 20}",empty,{on_t: 0.25},[23],fed_dob2.5-31_mixedsex,,,,,
24,PAM_0273,roi_revisit,"{x_pos: -70, y_pos: 0, outer_radius: 20, inner_radius: 20}",single_pulse,{on_t: 0.25},[24],fed_dob2.5-31_mixedsex,,,,,
25,PAM_0273,roi_revisit,"{x_pos: -70, y_pos: 0, outer_radius: 20, inner_radius: 20}",single_pulse,{on_t: 0.25},[25],fed_dob2.5-31_mixedsex,,,,,
26,PAM_0273,roi_revisit,"{x_pos: -70, y_pos: 0, outer_radius: 20, inner_radius: 20}",single_pulse,{on_t: 0.25},[26],fed_dob2.5-31_mixedsex,,,,,
