:q,Fly,Classifier,Classifier Param,LED Policy,LED Policy Param,LED Number,Notes,Trial State,State Duration,Arena Type,,
1,Gr28b,roi_inverted,"{x_pos: -42, y_pos: 0, height: 182, width: 92}",instant,"{on_t: 1, off_t: 9}",[1],fed_dob3.6_f,disabled,30,arenas,TRIAL DURATION:,210
2,Gr28b,roi_inverted,"{x_pos: -42, y_pos: 0, height: 182, width: 92}",instant,"{on_t: 1, off_t: 9}",[2],fed_dob3.6_f,enabled,15,,hours:,3.5
3,Gr28b,roi_inverted,"{x_pos: -42, y_pos: 0, height: 182, width: 92}",instant,"{on_t: 1, off_t: 9}",[3],fed_dob3.6_f,disabled,5,,,
4,Gr28b,roi_inverted,"{x_pos: -42, y_pos: 0, height: 182, width: 92}",instant,"{on_t: 1, off_t: 9}",[4],fed_dob3.6_f,enabled,15,,,
5,Gr28b,roi_inverted,"{x_pos: -42, y_pos: 0, height: 182, width: 92}",instant,"{on_t: 1, off_t: 9}",[5],fed_dob3.6_f,disabled,5,,,
6,Gr28b,roi_inverted,"{x_pos: -42, y_pos: 0, height: 182, width: 92}",instant,"{on_t: 1, off_t: 9}",[6],fed_dob3.6_f,enabled,15,,,
7,Gr28b,roi_inverted,"{x_pos: -42, y_pos: 0, height: 182, width: 92}",instant,"{on_t: 1, off_t: 9}",[7],fed_dob3.6_f,disabled,5,,,
8,Gr28b,roi_inverted,"{x_pos: -42, y_pos: 0, height: 182, width: 92}",instant,"{on_t: 1, off_t: 9}",[8],fed_dob3.6_f,enabled,15,,,
9,Gr28b,roi_inverted,"{x_pos: -42, y_pos: 0, height: 182, width: 92}",instant,"{on_t: 1, off_t: 9}",[9],fed_dob3.6_f,disabled,5,,,
10,Gr28b,roi_inverted,"{x_pos: -42, y_pos: 0, height: 182, width: 92}",instant,"{on_t: 1, off_t: 9}",[10],fed_dob3.6_f,enabled,15,,,
11,Gr28b,roi_inverted,"{x_pos: -42, y_pos: 0, height: 182, width: 92}",instant,"{on_t: 1, off_t: 9}",[11],fed_dob3.6_f,disabled,5,,,
12,Gr28b,roi_inverted,"{x_pos: -42, y_pos: 0, height: 182, width: 92}",instant,"{on_t: 1, off_t: 9}",[12],fed_dob3.6_f,enabled,15,,,
13,Gr28b,roi_inverted,"{x_pos: -42, y_pos: 0, height: 182, width: 92}",instant,"{on_t: 1, off_t: 9}",[13],fed_dob3.6_f,disabled,5,,,
14,Gr28b,roi_inverted,"{x_pos: -42, y_pos: 0, height: 182, width: 92}",instant,"{on_t: 1, off_t: 9}",[14],fed_dob3.6_f,enabled,15,,,
15,Gr28b,roi_inverted,"{x_pos: -42, y_pos: 0, height: 182, width: 92}",instant,"{on_t: 1, off_t: 9}",[15],fed_dob3.6_f,disabled,5,,,
16,Gr28b,roi_inverted,"{x_pos: -42, y_pos: 0, height: 182, width: 92}",instant,"{on_t: 1, off_t: 9}",[16],fed_dob3.6_f,enabled,15,,,
17,Gr28b,roi_inverted,"{x_pos: -42, y_pos: 0, height: 182, width: 92}",instant,"{on_t: 1, off_t: 9}",[17],fed_dob3.6_f,disabled,5,,,
18,Gr28b,roi_inverted,"{x_pos: -42, y_pos: 0, height: 182, width: 92}",instant,"{on_t: 1, off_t: 9}",[18],fed_dob3.6_f,enabled,15,,,
19,Gr28b,roi_inverted,"{x_pos: -42, y_pos: 0, height: 182, width: 92}",instant,"{on_t: 1, off_t: 9}",[19],fed_dob3.6_f,disabled,5,,,
20,Gr28b,roi_inverted,"{x_pos: -42, y_pos: 0, height: 182, width: 92}",instant,"{on_t: 1, off_t: 9}",[20],fed_dob3.6_f,,,,,
