Arena,Fly,Classifier,Classifier Param,LED Policy,LED Policy Param,Notes,Trial State,State Duration,Arena Type,,
1,,ficfruit_touch,"{distance: 5, touch_count: 3}",instant,"{on_t: 1, off_t: 9}",test,disabled,0,tunnels_A,TRIAL DURATION:,20
2,,ficfruit_touch,"{distance: 5, touch_count: 3}",instant,"{on_t: 1, off_t: 9}",test,enabled,20,,hours:,0.3333333333
3,,ficfruit_touch,"{distance: 5, touch_count: 3}",instant,"{on_t: 1, off_t: 9}",test,,,,,
4,,ficfruit_touch,"{distance: 5, touch_count: 3}",instant,"{on_t: 1, off_t: 9}",test,,,,,
5,,ficfruit_touch,"{distance: 5, touch_count: 3}",instant,"{on_t: 1, off_t: 9}",test,,,,,
6,,ficfruit_touch,"{distance: 5, touch_count: 3}",instant,"{on_t: 1, off_t: 9}",test,,,,,
7,,ficfruit_touch,"{distance: 5, touch_count: 3}",instant,"{on_t: 1, off_t: 9}",test,,,,,
8,,ficfruit_touch,"{distance: 5, touch_count: 3}",instant,"{on_t: 1, off_t: 9}",test,,,,,
9,,ficfruit_touch,"{distance: 5, touch_count: 3}",instant,"{on_t: 1, off_t: 9}",test,,,,,
10,,ficfruit_touch,"{distance: 5, touch_count: 3}",instant,"{on_t: 1, off_t: 9}",test,,,,,
11,,ficfruit_touch,"{distance: 5, touch_count: 3}",instant,"{on_t: 1, off_t: 9}",test,,,,,
12,,ficfruit_touch,"{distance: 5, touch_count: 3}",instant,"{on_t: 1, off_t: 9}",test,,,,,
13,,ficfruit_touch,"{distance: 5, touch_count: 3}",instant,"{on_t: 1, off_t: 9}",test,,,,,
14,,ficfruit_touch,"{distance: 5, touch_count: 3}",instant,"{on_t: 1, off_t: 9}",test,,,,,
15,,ficfruit_touch,"{distance: 5, touch_count: 3}",instant,"{on_t: 1, off_t: 9}",test,,,,,
16,,ficfruit_touch,"{distance: 5, touch_count: 3}",instant,"{on_t: 1, off_t: 9}",,,,,,
17,,ficfruit_touch,"{distance: 5, touch_count: 3}",instant,"{on_t: 1, off_t: 9}",,,,,,
18,,ficfruit_touch,"{distance: 5, touch_count: 3}",instant,"{on_t: 1, off_t: 9}",,,,,,
19,,ficfruit_touch,"{distance: 5, touch_count: 3}",instant,"{on_t: 1, off_t: 9}",,,,,,
20,,ficfruit_touch,"{distance: 5, touch_count: 3}",instant,"{on_t: 1, off_t: 9}",,,,,,
21,C-137,ficfruit_touch,"{distance: 5, touch_count: 3}",pulse,"{on_t: 1, off_t: 9}",,,,,,
22,,ficfruit_touch,"{distance: 5, touch_count: 3}",instant,"{on_t: 1, off_t: 9}",,,,,,
23,,ficfruit_touch,"{distance: 5, touch_count: 3}",instant,"{on_t: 1, off_t: 9}",,,,,,
24,,ficfruit_touch,"{distance: 5, touch_count: 3}",instant,"{on_t: 1, off_t: 9}",,,,,,
25,,ficfruit_touch,"{distance: 5, touch_count: 3}",instant,"{on_t: 1, off_t: 9}",,,,,,
26,,ficfruit_touch,"{distance: 5, touch_count: 3}",instant,"{on_t: 1, off_t: 9}",,,,,,
27,,ficfruit_touch,"{distance: 5, touch_count: 3}",instant,"{on_t: 1, off_t: 9}",,,,,,
28,,ficfruit_touch,"{distance: 5, touch_count: 3}",instant,"{on_t: 1, off_t: 9}",,,,,,
29,,ficfruit_touch,"{distance: 5, touch_count: 3}",instant,"{on_t: 1, off_t: 9}",,,,,,
30,,ficfruit_touch,"{distance: 5, touch_count: 3}",instant,"{on_t: 1, off_t: 9}",,,,,,
31,,ficfruit_touch,"{distance: 5, touch_count: 3}",instant,"{on_t: 1, off_t: 9}",,,,,,
32,,ficfruit_touch,"{distance: 5, touch_count: 3}",instant,"{on_t: 1, off_t: 9}",,,,,,
33,,ficfruit_touch,"{distance: 5, touch_count: 3}",instant,"{on_t: 1, off_t: 9}",,,,,,
34,,ficfruit_touch,"{distance: 5, touch_count: 3}",instant,"{on_t: 1, off_t: 9}",,,,,,
35,,ficfruit_touch,"{distance: 5, touch_count: 3}",instant,"{on_t: 1, off_t: 9}",,,,,,
