Arena,Fly,Classifier,Classifier Param,LED Policy,LED Policy Param,LED Number,Notes,Trial State,State Duration,Arena Type,,
1,Gr28b,tunnels_inverted,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right, bottom_left, top_left]}",instant,"{on_t: 1, off_t: 9}",[1],fed_dob3.2-4_f,disabled,30,tunnels_A,TRIAL DURATION:,90
2,Gr28b,tunnels_inverted,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right, bottom_left, top_left]}",instant,"{on_t: 1, off_t: 9}",[2],fed_dob3.2-4_f,enabled,45,,hours:,1.5
3,Gr28b,tunnels_inverted,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right, bottom_left, top_left]}",instant,"{on_t: 1, off_t: 9}",[3],fed_dob3.2-4_f,disabled,15,,,
4,Gr28b,tunnels_inverted,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right, bottom_left, top_left]}",instant,"{on_t: 1, off_t: 9}",[4],fed_dob3.2-4_f,,,,,
5,Gr28b,tunnels_inverted,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right, bottom_left, top_left]}",instant,"{on_t: 1, off_t: 9}",[5],fed_dob3.2-4_f,,,,,
6,Gr28b,tunnels_inverted,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right, bottom_left, top_left]}",instant,"{on_t: 1, off_t: 9}",[6],fed_dob3.2-4_f,,,,,
7,Gr28b,tunnels_inverted,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right, bottom_left, top_left]}",instant,"{on_t: 1, off_t: 9}",[7],fed_dob3.2-4_f,,,,,
8,Gr28b,tunnels_inverted,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right, bottom_left, top_left]}",instant,"{on_t: 1, off_t: 9}",[8],fed_dob3.2-4_f,,,,,
9,Gr28b,tunnels_inverted,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right, bottom_left, top_left]}",instant,"{on_t: 1, off_t: 9}",[9],fed_dob3.2-4_f,,,,,
10,Gr28b,tunnels_inverted,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right, bottom_left, top_left]}",instant,"{on_t: 1, off_t: 9}",[10],fed_dob3.2-4_f,,,,,
11,Gr28b,tunnels_inverted,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right, bottom_left, top_left]}",instant,"{on_t: 1, off_t: 9}",[11],fed_dob3.2-4_f,,,,,
12,Gr28b,tunnels_inverted,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right, bottom_left, top_left]}",instant,"{on_t: 1, off_t: 9}",[12],fed_dob3.2-4_f,,,,,
13,Gr28b,tunnels_inverted,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right, bottom_left, top_left]}",instant,"{on_t: 1, off_t: 9}",[13],fed_dob3.2-4_f,,,,,
14,Gr28b,tunnels_inverted,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right, bottom_left, top_left]}",instant,"{on_t: 1, off_t: 9}",[14],fed_dob3.2-4_f,,,,,
15,Gr28b,tunnels_inverted,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right, bottom_left, top_left]}",instant,"{on_t: 1, off_t: 9}",[15],fed_dob3.2-4_f,,,,,
16,Gr28b,tunnels_inverted,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right, bottom_left, top_left]}",instant,"{on_t: 1, off_t: 9}",[16],fed_dob3.2-4_f,,,,,
17,Gr28b,tunnels_inverted,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right, bottom_left, top_left]}",instant,"{on_t: 1, off_t: 9}",[17],fed_dob3.2-4_f,,,,,
18,Gr28b,tunnels_inverted,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right, bottom_left, top_left]}",instant,"{on_t: 1, off_t: 9}",[18],fed_dob3.2-4_f,,,,,
19,Gr28b,tunnels_inverted,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right, bottom_left, top_left]}",instant,"{on_t: 1, off_t: 9}",[19],fed_dob3.2-4_f,,,,,
20,Gr28b,tunnels_inverted,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right, bottom_left, top_left]}",instant,"{on_t: 1, off_t: 9}",[20],fed_dob3.2-4_f,,,,,
21,Gr28b,tunnels_inverted,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right, bottom_left, top_left]}",instant,"{on_t: 1, off_t: 9}",[21],fed_dob3.2-4_f,,,,,
22,Gr28b,tunnels_inverted,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right, bottom_left, top_left]}",instant,"{on_t: 1, off_t: 9}",[22],fed_dob3.2-4_f,,,,,
23,Gr28b,tunnels_inverted,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right, bottom_left, top_left]}",instant,"{on_t: 1, off_t: 9}",[23],fed_dob3.2-4_f,,,,,
24,Gr28b,tunnels_inverted,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right, bottom_left, top_left]}",instant,"{on_t: 1, off_t: 9}",[24],fed_dob3.2-4_f,,,,,
25,Gr28b,tunnels_inverted,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right, bottom_left, top_left]}",instant,"{on_t: 1, off_t: 9}",[25],fed_dob3.2-4_f,,,,,
26,Gr28b,tunnels_inverted,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right, bottom_left, top_left]}",instant,"{on_t: 1, off_t: 9}",[26],fed_dob3.2-4_f,,,,,
27,Gr28b,tunnels_inverted,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right, bottom_left, top_left]}",instant,"{on_t: 1, off_t: 9}",[27],fed_dob3.2-4_f,,,,,
28,Gr28b,tunnels_inverted,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right, bottom_left, top_left]}",instant,"{on_t: 1, off_t: 9}",[28],fed_dob3.2-4_f,,,,,
29,Gr28b,tunnels_inverted,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right, bottom_left, top_left]}",instant,"{on_t: 1, off_t: 9}",[29],fed_dob3.2-4_f,,,,,
30,Gr28b,tunnels_inverted,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right, bottom_left, top_left]}",instant,"{on_t: 1, off_t: 9}",[30],fed_dob3.2-4_f,,,,,
