Arena,Fly,Classifier,Classifier Param,LED Policy,LED Policy Param,Notes,Trial State,State Duration,Arena Type,,
1,C-137,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",empty,"{on_t: 1, off_t: 9}",test,disabled,400,tunnels_A,TRIAL DURATION:,400
2,C-137,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",empty,"{on_t: 1, off_t: 9}",test,enabled,0,,hours:,6.666666667
3,C-137,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",empty,"{on_t: 1, off_t: 9}",test,,,,,
4,C-137,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",empty,"{on_t: 1, off_t: 9}",test,,,,,
5,C-137,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",empty,"{on_t: 1, off_t: 9}",test,,,,,
6,C-137,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",empty,"{on_t: 1, off_t: 9}",test,,,,,
7,C-137,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",empty,"{on_t: 1, off_t: 9}",test,,,,,
8,C-137,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",empty,"{on_t: 1, off_t: 9}",test,,,,,
9,C-137,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",empty,"{on_t: 1, off_t: 9}",test,,,,,
10,C-137,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",empty,"{on_t: 1, off_t: 9}",test,,,,,
11,,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",empty,"{on_t: 1, off_t: 9}",test,,,,,
12,,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",empty,"{on_t: 1, off_t: 9}",test,,,,,
13,,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",empty,"{on_t: 1, off_t: 9}",test,,,,,
14,,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",empty,"{on_t: 1, off_t: 9}",test,,,,,
15,,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",empty,"{on_t: 1, off_t: 9}",test,,,,,
16,,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",empty,"{on_t: 1, off_t: 9}",,,,,,
17,,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",empty,"{on_t: 1, off_t: 9}",,,,,,
18,,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",empty,"{on_t: 1, off_t: 9}",,,,,,
19,C-137,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",empty,"{on_t: 1, off_t: 9}",,,,,,
20,C-137,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",empty,"{on_t: 1, off_t: 9}",,,,,,
21,C-137,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",empty,"{on_t: 1, off_t: 9}",,,,,,
22,C-137,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",empty,"{on_t: 1, off_t: 9}",,,,,,
23,C-137,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",empty,"{on_t: 1, off_t: 9}",,,,,,
24,C-137,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",empty,"{on_t: 1, off_t: 9}",,,,,,
25,C-137,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",empty,"{on_t: 1, off_t: 9}",,,,,,
26,C-137,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",empty,"{on_t: 1, off_t: 9}",,,,,,
27,C-137,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",empty,"{on_t: 1, off_t: 9}",,,,,,
28,C-137,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",empty,"{on_t: 1, off_t: 9}",,,,,,
29,C-137,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",empty,"{on_t: 1, off_t: 9}",,,,,,
30,C-137,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",empty,"{on_t: 1, off_t: 9}",,,,,,
31,C-137,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",empty,"{on_t: 1, off_t: 9}",,,,,,
32,C-137,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",empty,"{on_t: 1, off_t: 9}",,,,,,
33,C-137,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",empty,"{on_t: 1, off_t: 9}",,,,,,
34,C-137,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",empty,"{on_t: 1, off_t: 9}",,,,,,
35,C-137,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",empty,"{on_t: 1, off_t: 9}",,,,,,
