Arena,Fly,Classifier,Classifier Param,LED Policy,LED Policy Param,,Trial State,State Duration,Arena Type,,
1,PAM_0273,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",pulse,"{on_t: 1, off_t: 9}",,disabled,20,tunnels_A,TRIAL DURATION:,120
2,PAM_0273,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",pulse,"{on_t: 1, off_t: 9}",,enabled,20,,hours:,2
3,PAM_0273,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",pulse,"{on_t: 1, off_t: 9}",,disabled,5,,,
4,Gr5a,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",pulse,"{on_t: 1, off_t: 9}",,enabled,20,,,
5,Gr5a,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",pulse,"{on_t: 1, off_t: 9}",,disabled,5,,,
6,PAM_0273,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",pulse,"{on_t: 1, off_t: 9}",,enabled,20,,,
7,PAM_0273,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",pulse,"{on_t: 1, off_t: 9}",,disabled,5,,,
8,PAM_0273,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",pulse,"{on_t: 1, off_t: 9}",,enabled,20,,,
9,Gr5a,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",pulse,"{on_t: 1, off_t: 9}",,disabled,5,,,
10,Gr5a,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",pulse,"{on_t: 1, off_t: 9}",,,,,,
11,PAM_0273,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",pulse,"{on_t: 1, off_t: 9}",,,,,,
12,PAM_0273,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",pulse,"{on_t: 1, off_t: 9}",,,,,,
13,PAM_0273,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",pulse,"{on_t: 1, off_t: 9}",,,,,,
14,Gr5a,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",pulse,"{on_t: 1, off_t: 9}",,,,,,
15,Gr5a,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",pulse,"{on_t: 1, off_t: 9}",,,,,,
16,PAM_0273,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",pulse,"{on_t: 1, off_t: 9}",,,,,,
17,PAM_0273,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",pulse,"{on_t: 1, off_t: 9}",,,,,,
18,PAM_0273,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",pulse,"{on_t: 1, off_t: 9}",,,,,,
19,Gr5a,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",pulse,"{on_t: 1, off_t: 9}",,,,,,
20,Gr5a,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",pulse,"{on_t: 1, off_t: 9}",,,,,,
21,PAM_0273,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",pulse,"{on_t: 1, off_t: 9}",,,,,,
22,PAM_0273,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",pulse,"{on_t: 1, off_t: 9}",,,,,,
23,PAM_0273,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",pulse,"{on_t: 1, off_t: 9}",,,,,,
24,Gr5a,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",pulse,"{on_t: 1, off_t: 9}",,,,,,
25,Gr5a,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",pulse,"{on_t: 1, off_t: 9}",,,,,,
26,PAM_0273,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",pulse,"{on_t: 1, off_t: 9}",,,,,,
27,PAM_0273,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",pulse,"{on_t: 1, off_t: 9}",,,,,,
28,PAM_0273,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",pulse,"{on_t: 1, off_t: 9}",,,,,,
29,Gr5a,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",pulse,"{on_t: 1, off_t: 9}",,,,,,
30,Gr5a,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",pulse,"{on_t: 1, off_t: 9}",,,,,,
31,PAM_0273,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",pulse,"{on_t: 1, off_t: 9}",,,,,,
32,PAM_0273,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",pulse,"{on_t: 1, off_t: 9}",,,,,,
33,PAM_0273,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",pulse,"{on_t: 1, off_t: 9}",,,,,,
34,Gr5a,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",pulse,"{on_t: 1, off_t: 9}",,,,,,
35,Gr5a,tunnels,"{radius: 40, outer_radius: 50, tunnels: [top_right, bottom_right]}",pulse,"{on_t: 1, off_t: 9}",,,,,,
